staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,titl,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
16,1,17.0,36.107729124996695,,36.09767787499004,36.107729124996695,36.595602916990174,36.595602916990174,36.595602916990174,36.891669582997565,37.01082220800163,right,17.0,0,0,0.4053543340123724,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
17,1,18.0,37.020654041989474,,37.01104112499161,37.020654041989474,37.50831958299386,37.50831958299386,37.512781375000486,37.79572695799288,38.47758729199995,left,-18.0,0,0,0.9620571660052519,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
18,1,19.0,38.4872124579997,,38.477759999994305,38.4872124579997,38.975113416992826,38.975113416992826,38.979926667001564,39.26246633299161,39.94409612499294,right,19.0,1,1,0.957606832991587,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
19,1,19.0,39.95403658300347,,39.94424779199471,39.95403658300347,40.441718582995236,40.441718582995236,40.44522137499007,40.72863695799606,41.42739558299945,left,-19.0,0,0,0.974003499999526,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
20,1,20.0,41.43727216699335,,41.42761395800335,41.43727216699335,41.92497062499751,41.92497062499751,41.9291631669912,42.210921916994266,42.793405916992924,left,-20.0,1,1,0.8606648330023745,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
21,1,20.0,42.80013408299419,,42.793584832994384,42.80013408299419,43.29078695799399,43.29078695799399,43.29420316699543,43.577467416995205,44.16346424999938,right,20.0,0,0,0.8686533750005765,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
22,1,20.0,44.17425604199525,,44.163599332998274,44.17425604199525,44.66127399999823,44.66127399999823,44.66127399999823,44.95764354200219,45.477677582995966,right,20.0,1,1,0.8089462499920046,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
23,1,20.0,45.484501332990476,,45.47784520799178,45.484501332990476,45.97406508299173,45.97406508299173,45.97752020799089,46.26164266699925,46.49703104200307,left,-20.0,1,1,0.5190005830081645,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
24,0.5,20.0,46.50751745799789,,46.49719308299245,46.50751745799789,46.99549233299331,46.99549233299331,46.99549233299331,47.29168004199164,47.56346604200371,right,20.0,1,1,0.5647411670070142,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
25,0.5,19.5,47.57493941699795,,47.56368420799845,47.57493941699795,48.05829274999269,48.05829274999269,48.06242916699557,48.34591929199814,48.53042016699328,left,-19.5,0,0,0.4700382909941254,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
26,0.5,20.0,48.541762666995055,,48.530585041997256,48.541762666995055,49.025137332995655,49.025137332995655,49.0293175830011,49.31247412499215,50.21082212499459,left,-20.0,0,0,1.1751375000021653,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
27,0.5,20.0,50.22023449999688,,50.21098712499952,50.22023449999688,50.70841883298999,50.70841883298999,50.71195254199847,,50.843683792001684,right,20.0,1,1,0.12453687499510124,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
28,0.5,20.0,50.850964582990855,,50.843829749996075,50.850964582990855,51.341857541992795,51.341857541992795,51.345885582995834,51.62867229199037,51.84260874999745,left,-20.0,1,1,0.48798424999404233,428277,001,2024-09-06_11h52.35.143,adaptive staircase 1,2024.1.5,None,2024-09-06 11h52.38.268443 +0530,
