Condition,DigitStim,ToneType,ToneProb,CorrectResponse,Condition_type,Digit_Stim,Tone_Type,Tone_Prob,Freq,Correct_Response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,focused.started,number_display.started,fixation.started,number_display.stopped,fixation.stopped,textbox.started,recall_response.started,text.started,mouse.started,focused.stopped,recall_response.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,break_2.started,image.started,image.stopped,break_2.stopped,divided.started,number_display_2.started,standard_2.started,deviant_2.started,number_display_2.stopped,standard_2.stopped,textbox_2.started,recall_response_2.started,text_2.started,mouse_2.started,divided.stopped,recall_response_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,age,gender,date,expName,psychopyVersion,frameRate,expStart,
Focused,9813,None,None,9813,,,,,,,0,0,0,0,,,,,0.03488558300159639,,0.01685962500050664,0.03488558300159639,0.9960553330020048,1.027609750002739,1.4951478329967358,2.9978976659986074,2.9978976659986074,2.9978976659986074,2.9990743340022163,11.336674749996746,,[-0.05],[-0.295],[1],[0],[0],[8.337093290996563],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,3637,None,None,3637,,,,,,,0,1,1,1,,,,,11.344701290996454,,11.337408457999118,11.344701290996454,12.329044999998587,12.34137179100071,12.824687915999675,14.332897708001838,14.332897708001838,14.332897708001838,3.0051089170010528,19.734130541000923,3637,[-0.05],[-0.295],[1],[0],[0],[5.391457249999803],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,9138,None,None,9138,,,,,,,0,2,2,2,,,,,19.741121457998815,,19.73455208299856,19.741121457998815,20.72873454100045,20.72873454100045,21.224938833001943,22.732750582996232,22.732750582996232,22.732750582996232,2.999738166006864,31.72662712499732,9138,[-0.058333333333333334],[-0.295],[1],[0],[0],[8.99216449999949],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,6764,None,None,6764,,,,,,,0,3,3,3,,,,,31.733065250002255,,31.72717645800003,31.733065250002255,32.724624041002244,32.72883145800006,33.211758958001155,34.72467562500242,34.72467562500242,34.72467562500242,2.9990570840018336,39.46035487500194,6764,[-0.058333333333333334],[-0.295],[1],[0],[0],[4.734030833998986],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,1269,None,None,1269,,,,,,,0,4,4,4,,,,,39.46631941600208,,39.46074799999769,39.46631941600208,40.45797433300322,40.46215941599803,40.94527220800228,42.45774254100252,42.45774254100252,42.45774254100252,3.0062754999962635,46.41739124999731,1269,[-0.058333333333333334],[-0.295],[1],[0],[0],[3.950206291003269],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,5572,None,None,5572,,,,,,,0,5,5,5,,,,,46.42447604100016,,46.41783916600252,46.42447604100016,47.412274750000506,47.412274750000506,47.908074166000006,49.41641170799994,49.41641170799994,49.41641170799994,3.0000461250019725,54.0007117080022,5572,[-0.058333333333333334],[-0.295],[1],[0],[0],[4.582682291998935],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,8827,None,None,8827,,,,,,,0,6,6,6,,,,,54.00777091600321,,54.001243040998816,54.00777091600321,54.997670666001795,54.997670666001795,55.49510108299728,56.9995221249992,56.9995221249992,56.9995221249992,2.999801416997798,60.800286375000724,8827,[-0.058333333333333334],[-0.295],[1],[0],[0],[3.799126082994917],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,8459,None,None,8459,,,,,,,0,7,7,7,,,,,60.80799162499898,,60.800689040996076,60.80799162499898,61.79547887499939,61.79547887499939,62.29166541599989,63.79969812499621,63.79969812499621,63.79969812499621,3.000484749994939,69.9670470830024,8459,[-0.058333333333333334],[-0.295],[1],[0],[0],[6.165752332999546],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,7940,None,None,7940,,,,,,,0,8,8,8,,,,,69.97480641600123,,69.96748116600065,69.97480641600123,70.96249129100033,70.96249129100033,71.45796225000231,72.96631829100079,72.96631829100079,72.96631829100079,3.0003428329946473,76.95994575000077,7940,[-0.058333333333333334],[-0.295],[1],[0],[0],[3.991974750002555],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,5068,None,None,5068,,,,,,,0,9,9,9,,,,,76.96543508300238,,76.9603507080028,76.96543508300238,77.95815012499952,77.96227099999669,78.44518404099654,79.95807879100175,79.95807879100175,79.95807879100175,2.999259791999066,83.43405937500211,5068,[-0.058333333333333334],[-0.295],[1],[0],[0],[3.4742648329993244],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,4426,None,None,4426,,,,,,,0,10,10,10,,,,,83.44112224999844,,83.43448950000311,83.44112224999844,84.4291564160012,84.4291564160012,84.92472420800186,86.43275429100322,86.43275429100322,86.43275429100322,2.9997792079957435,89.65055974999996,4426,[-0.058333333333333334],[-0.295],[1],[0],[0],[3.216126624996832],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,2015,None,None,2015,,,,,,,0,11,11,11,,,,,89.65777083300054,,89.65098325000145,89.65777083300054,90.64559495799767,90.64559495799767,91.14132079100091,92.65136408300168,92.65136408300168,92.65136408300168,3.001854458001617,96.7771276659987,2015,[-0.058333333333333334],[-0.295],[1],[0],[0],[4.124134375000722],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,2070,None,None,2070,,,,,,,0,12,12,12,,,,,96.78254620799999,,96.77756862500246,96.78254620799999,97.77460041599988,97.77868512499845,98.26191724999808,99.77504179099924,99.77504179099924,99.77504179099924,3.0066507079973235,103.18437829100003,2070,[-0.058333333333333334],[-0.295],[1],[0],[0],[3.40004141600366],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,8428,None,None,8428,,,,,,,0,13,13,13,,,,,103.19110279100278,,103.1848870410031,103.19110279100278,104.1792896659972,104.1792896659972,104.67465991599602,106.18533049999678,106.18533049999678,106.18533049999678,3.0020113330028835,109.7676099579985,8428,[-0.058333333333333334],[-0.295],[1],[0],[0],[3.580537458998151],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,5552,None,None,5552,,,,,,,0,14,14,14,,,,,109.77437820799969,,109.76800874999753,109.77437820799969,110.76211858299939,110.76211858299939,111.25829862499813,112.7661642910025,112.7661642910025,112.7661642910025,2.99965629199869,115.97730854099791,5552,[-0.058333333333333334],[-0.295],[1],[0],[0],[3.2094831249996787],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
Focused,9498,None,None,9498,,,,,,,0,15,15,15,,,,,115.98271999999997,,115.97769649999827,115.98271999999997,116.97475524999754,116.97908479099715,117.46196429099655,118.97463124999922,118.97463124999922,118.97463124999922,3.006115291995229,121.58432745799655,9498,[-0.058333333333333334],[-0.295],[1],[0],[0],[2.600366042002861],['text'],,,,,,,,,,,,,,,,,,,,,,,,01,21,FEMALE,2024-11-28_15h45.17.743,attention,2024.1.5,None,2024-11-28 15h45.31.697392 +0530,
