Condition,DigitStim,ToneType,ToneProb,CorrectResponse,Condition_type,Digit_Stim,Tone_Type,Tone_Prob,Freq,Correct_Response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,focused.started,number_display.started,fixation.started,number_display.stopped,fixation.stopped,textbox.started,recall_response.started,text.started,mouse.started,focused.stopped,recall_response.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,break_2.started,image.started,image.stopped,break_2.stopped,divided.started,number_display_2.started,standard_2.started,deviant_2.started,number_display_2.stopped,standard_2.stopped,textbox_2.started,recall_response_2.started,text_2.started,mouse_2.started,divided.stopped,recall_response_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,age,gender,date,expName,psychopyVersion,frameRate,expStart,
Focused,9813,None,None,9813,,,,,,,0,0,0,0,,,,,0.1070448749960633,,0.08085512500110781,0.1070448749960633,0.9984260420023929,1.0977106249993085,1.4936922080014483,3.004003832997114,3.004003832997114,3.004003832997114,3.005179916995985,8.864369541995984,9813,[-0.20166666666666666],[-0.2916666666666667],[1],[0],[0],[5.858695667004213],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,3637,None,None,3637,,,,,,,0,1,1,1,,,,,8.871039999998175,,8.865065792000678,8.871039999998175,9.860262374997546,9.864325666996592,10.347233207998215,11.860257791995537,11.860257791995537,11.860257791995537,3.0043851250011357,20.430591625001398,3637,[0.028333333333333332],[-0.30833333333333335],[1],[0],[0],[8.56092862499645],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,9138,None,None,9138,,,,,,,0,2,2,2,,,,,20.438768457999686,,20.43205337499967,20.438768457999686,21.426952249996248,21.43104054199648,21.914083666997612,23.427010207997228,23.427010207997228,23.427010207997228,3.00446220899903,28.61286958299752,9138,[0.03333333333333333],[-0.31],[1],[0],[0],[5.176325291999092],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,6764,None,None,6764,,,,,,,0,3,3,3,,,,,28.618843582997215,,28.613335791997088,28.618843582997215,29.610381833001156,29.614624249996268,30.09744587499881,31.610382708000543,31.610382708000543,31.610382708000543,3.0059149579974473,34.452642500000366,6764,[0.03333333333333333],[-0.31],[1],[0],[0],[2.833251541000209],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,1269,None,None,1269,,,,,,,0,4,4,4,,,,,34.460184957999445,,34.45308408299752,34.460184957999445,35.44769379199715,35.44769379199715,35.94356062499719,37.45307912499993,37.45307912499993,37.45307912499993,3.0014793329974054,40.862201832998835,1269,[0.03333333333333333],[-0.31],[1],[0],[0],[3.407505666000361],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,5572,None,None,5572,,,,,,,0,5,5,5,,,,,40.86836483299703,,40.86265433299559,40.86836483299703,41.8603716669968,41.864691167000274,42.347331416996894,43.860385957996186,43.860385957996186,43.860385957996186,2.99924454199936,51.15283958299551,5572,[0.03333333333333333],[-0.31],[1],[0],[0],[7.290828917000908],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,8827,None,None,8827,,,,,,,0,6,6,6,,,,,51.160023791999265,,51.15346516700083,51.160023791999265,52.147711375000654,52.147711375000654,52.64362062500004,54.15163549999852,54.15163549999852,54.15163549999852,2.9996552920056274,58.73582837499998,8827,[0.03333333333333333],[-0.31],[1],[0],[0],[4.582532291999087],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,8459,None,None,8459,,,,,,,0,7,7,7,,,,,58.743554082997434,,58.736361707997276,58.743554082997434,59.731142707998515,59.731142707998515,60.22699733299669,61.736913458000345,61.736913458000345,61.736913458000345,3.0020929999955115,64.58593870799814,8459,[0.03333333333333333],[-0.31],[1],[0],[0],[2.8473695420034346],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,7940,None,None,7940,,,,,,,0,8,8,8,,,,,64.59335941699828,,64.58636824999849,64.59335941699828,65.58224175000214,65.58224175000214,66.07704454199848,67.58703512499778,67.58703512499778,67.58703512499778,3.0021893749944866,70.82950787500158,7940,[0.03333333333333333],[-0.31],[1],[0],[0],[3.240823208994698],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,5068,None,None,5068,,,,,,,0,9,9,9,,,,,70.83495425000001,,70.82994495800085,70.83495425000001,71.82686904200091,71.83104608299618,72.3140935420015,73.8268430829994,73.8268430829994,73.8268430829994,3.0056996249986696,76.71221970799525,5068,[0.03333333333333333],[-0.31],[1],[0],[0],[2.8764256669965107],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,4426,None,None,4426,,,,,,,0,10,10,10,,,,,76.71772566699656,,76.71264095800143,76.71772566699656,77.71053833299811,77.71680533299514,78.19733154199639,79.71019820799847,79.71019820799847,79.71019820799847,2.999210875001154,82.20307116700133,4426,[0.03333333333333333],[-0.31],[1],[0],[0],[2.4911048330031917],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,2015,None,None,2015,,,,,,,0,11,11,11,,,,,82.21001354199689,,82.20370312500017,82.21001354199689,83.19759999999951,83.19759999999951,83.69356025000161,85.20170141699782,85.20170141699782,85.20170141699782,2.999488374996872,88.7128737919993,2015,[0.03333333333333333],[-0.31],[1],[0],[0],[3.5095888750001905],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,2070,None,None,2070,,,,,,,0,12,12,12,,,,,88.71840908299782,,88.71326441699784,88.71840908299782,89.71021562499664,89.71453512500011,90.19898787499551,91.71032416699745,91.71032416699745,91.71032416699745,3.0060041250035283,94.59606845799863,2070,[0.03333333333333333],[-0.31],[1],[0],[0],[2.876655458996538],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,8428,None,None,8428,,,,,,,0,13,13,13,,,,,94.60144962499908,,94.59646274999977,94.60144962499908,95.59351062499627,95.59764470799564,96.08076033299585,97.59349791699788,97.59349791699788,97.59349791699788,3.006339375002426,100.81910445800168,8428,[0.03333333333333333],[-0.31],[1],[0],[0],[3.21616145799635],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,5552,None,None,5552,,,,,,,0,14,14,14,,,,,100.82689274999575,,100.81955300000118,100.82689274999575,101.81428762499854,101.81428762499854,102.31018995799968,103.81821891699656,103.81821891699656,103.81821891699656,3.000154791996465,106.31219370799954,5552,[0.03333333333333333],[-0.31],[1],[0],[0],[2.492342124998686],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,9498,None,None,9498,,,,,,,0,15,15,15,,,,,106.31751495799836,,106.31260283300071,106.31751495799836,107.31023758299852,107.31453599999804,107.7989297919994,109.31018920800125,109.31018920800125,109.31018920800125,2.9990872080015833,111.9035555829978,9498,[0.03333333333333333],[-0.31],[1],[0],[0],[2.5916194160017767],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,6767,None,None,6767,,,,,,,0,16,16,16,,,,,111.91023324999696,,111.90429195799516,111.91023324999696,112.89810483299516,112.89810483299516,113.3936123329986,114.90158083300048,114.90158083300048,114.90158083300048,3.0072131659981096,117.19644204199722,6767,[0.03333333333333333],[-0.31],[1],[0],[0],[2.2848669580052956],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,7933,None,None,7933,,,,,,,0,17,17,17,,,,,117.20198583300225,,117.19699454199872,117.20198583300225,118.19368199999735,118.19857695799874,118.68077058299968,120.19354612499592,120.19354612499592,120.19354612499592,3.006058708000637,122.6455950419986,7933,[0.03333333333333333],[-0.31],[1],[0],[0],[2.4424323339990224],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,9841,None,None,9841,,,,,,,0,18,18,18,,,,,122.65103720800107,,122.64599799999996,122.65103720800107,123.64351850000094,123.64764699999796,124.13060845799919,125.6435565829961,125.6435565829961,125.6435565829961,2.9990842080005677,129.7700662080024,8798,[0.03333333333333333],[-0.31],[1],[0],[0],[4.124692584002332],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
Focused,9427,None,None,9427,,,,,,,0,19,19,19,,,,,129.77704491699842,,129.77052491699578,129.77704491699842,130.76549879199592,130.76549879199592,131.26518795800075,132.77240000000165,132.77240000000165,132.77240000000165,3.003656458000478,135.646777791997,9427,[0.03333333333333333],[-0.31],[1],[0],[0],[2.872431667005003],['text'],,,,,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.64752012499957,136.64363158299966,196.66209962499852,196.62854691699613,,,,,,,,,,,,,,,,,,,,04,22,MALE,2024-11-28_16h11.14.101,attention,2024.1.5,None,2024-11-28 16h11.53.250568 +0530,
