staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,titl,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.012704583000001435,,0.008046082999996429,0.012704583000001435,0.5027314169999926,0.5027314169999926,0.5059601669999978,0.7931558749999965,2.065814582999991,right,10.0,1,1,1.5273204579999913,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
1,2,8.0,2.088873124999992,,2.065981999999991,2.088873124999992,2.5634074169999934,2.5634074169999934,2.576844292000004,2.8602236669999996,3.280716124999998,right,8.0,1,1,0.7122291670000038,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
2,2,6.0,3.297471458000004,,3.2808832079999917,3.297471458000004,3.779650332999992,3.779650332999992,3.7932743749999958,4.077768832999993,4.675930624999992,left,-6.0,1,1,0.8852331670000098,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
3,1.5,5.0,4.685317124999997,,4.6760880420000035,4.685317124999997,5.1740119999999905,5.1740119999999905,5.178680041999996,5.4604747079999925,5.892932000000002,left,-5.0,0,0,0.7066663330000011,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
4,1.5,6.5,5.902263750000003,,5.893096958000001,5.902263750000003,6.390397082999996,6.390397082999996,6.394069625,6.676609583000001,7.163991166999992,left,-6.5,0,0,0.7682267910000036,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
5,1.5,8.0,7.173335957999996,,7.164187583,7.173335957999996,7.662264707999995,7.662264707999995,7.662264707999995,7.960247207999998,9.426643166999995,right,8.0,1,1,1.7566345409999968,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
6,1.5,8.0,9.436234499999998,,9.42688995799999,9.436234499999998,9.923977332999996,9.923977332999996,9.928032166999984,10.210379500000002,10.926427541999985,left,-8.0,0,0,0.9969848339999885,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
7,1.5,9.5,10.935723374999995,,10.926640207999995,10.935723374999995,11.423941374999984,11.423941374999984,11.428099208000006,11.710346083000005,12.430160582999989,left,-9.5,1,1,1.002189207999976,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
8,1.5,9.5,12.43978566700001,,12.430319417000007,12.43978566700001,12.927779042000012,12.927779042000012,12.927779042000012,13.223707291999986,13.975811624999992,left,-9.5,0,0,1.0353277080000112,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
9,1.5,10.0,13.985022457999989,,13.975953875000002,13.985022457999989,14.473657875,14.473657875,14.478865124999984,14.760387375000008,15.359157832999998,left,-10.0,1,1,0.8752462909999963,711001,001,2024-09-12_23h01.24.157,adaptive staircase 1,2024.1.5,None,2024-09-12 23h01.27.065743 +0530,
