staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,titl,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,13.0,17.209209458000004,,17.200782500000003,17.209209458000004,17.69808420800001,17.69808420800001,17.703119458000003,17.98476820800002,19.649364291000012,left,-13.0,0,0,1.9380919589999905,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
11,1,14.0,19.65511216600001,,19.649496083000002,19.65511216600001,20.14815200000001,20.14815200000001,20.151738041000016,20.43510170800002,21.987217166000022,right,14.0,0,0,1.8366174580000063,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
12,1,15.0,21.997272333000012,,21.987397708000003,21.997272333000012,22.48639004100002,22.48639004100002,22.48639004100002,22.781435875,24.866707875000003,left,-15.0,0,0,2.3762510829999997,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
13,1,16.0,24.875834833,,24.86684783300001,24.875834833,25.364859541000015,25.364859541000015,25.369942707999996,25.651353666000006,28.917068625000013,left,-16.0,1,1,3.5487852500000088,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
14,1,16.0,28.926075791000017,,28.917232083000016,28.926075791000017,29.41502029100002,29.41502029100002,29.419055125,29.70118316600002,30.283648375000013,right,16.0,1,1,0.8551452499999925,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
15,1,16.0,30.29258312500002,,30.283802500000007,30.29258312500002,30.781748915999998,30.781748915999998,30.786930041000005,31.068462416000017,31.95041733300002,right,16.0,0,0,1.1557679579999842,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
16,1,17.0,31.960312166000023,,31.95063191600002,31.960312166000023,32.447997791000006,32.447997791000006,32.451822166,32.734707208,33.46720029100001,left,-17.0,0,0,1.0139658330000145,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
17,1,18.0,33.476522625,,33.46743175,33.476522625,33.96482229100002,33.96482229100002,33.96825670800001,,34.01631412500001,right,18.0,1,1,0.04705779199997551,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
18,1,18.0,34.02261945800001,,34.016408541000004,34.02261945800001,34.51482775000002,34.51482775000002,34.51989679100001,34.801998749999996,35.13782520800001,left,-18.0,0,0,0.618426458000016,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
19,1,19.0,35.14732037500002,,35.13799270800001,35.14732037500002,35.6346125,35.6346125,35.6346125,,35.720209333000014,left,-19.0,0,0,None,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
20,1,20.0,35.73130550000002,,35.720304,35.73130550000002,36.21844862500001,36.21844862500001,36.21844862500001,,36.386995458,left,-20.0,0,0,0.16568683400001305,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
21,1,20.0,36.39805904100001,,36.38712650000002,36.39805904100001,36.88142887500001,36.88142887500001,36.886506749999995,37.168154750000014,37.350374958,right,20.0,0,0,0.45834716699999944,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
22,1,20.0,37.35856316600001,,37.35053695800002,37.35856316600001,37.848292833000016,37.848292833000016,37.85250375000001,38.13503358300002,38.25022925000002,left,-20.0,0,0,0.3957051669999885,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
23,1,20.0,38.25746891600002,,38.250402208,38.25746891600002,38.748109666000005,38.748109666000005,38.751907875,39.03523670800001,39.25030595800001,right,20.0,1,1,0.4903508750000185,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
24,1,20.0,39.25938108300002,,39.25050375000001,39.25938108300002,39.748162750000006,39.748162750000006,39.75147575,,39.78749558300001,left,-20.0,0,0,0.03443608300000278,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
25,1,20.0,39.79801287500001,,39.78763654100001,39.79801287500001,40.286209208,40.286209208,40.286209208,,40.3163955,right,20.0,1,1,0.025532166000004963,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
26,1,20.0,40.322855583000006,,40.316517790999995,40.322855583000006,40.814771457999996,40.814771457999996,40.818873583,,40.955048541,left,-20.0,0,0,0.13829887500000382,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
27,1,20.0,40.96471112500001,,40.95523250000002,40.96471112500001,41.451957666,41.451957666,41.451957666,41.751446958,42.150378875,right,20.0,0,0,0.6915957089999836,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
28,1,20.0,42.15910516600002,,42.150535915999995,42.15910516600002,42.648151874999996,42.648151874999996,42.65141758300001,42.93481708300001,43.033722125,right,20.0,0,0,0.37277233300000034,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
29,1,20.0,43.04116191600002,,43.03386362500001,43.04116191600002,43.531366875,43.531366875,43.535495166000004,,43.620660625,left,-20.0,1,1,0.08790229199999544,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
30,1,20.0,43.631423833000014,,43.620758791000014,43.631423833000014,44.119056333,44.119056333,44.119056333,44.414731125,44.617023750000016,right,20.0,0,0,0.4906802089999758,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
31,1,20.0,44.626457958,,44.617216208,44.626457958,45.114675291,45.114675291,45.11970358300002,,45.13705054100001,left,-20.0,0,0,0.018653000000000475,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
32,1,20.0,45.148102416,,45.137148249999996,45.148102416,45.63696804100002,45.63696804100002,45.63696804100002,,45.800231833,left,-20.0,0,0,0.15649650000000292,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
33,1,20.0,45.80730937500002,,45.80041404100001,45.80730937500002,46.29806475000001,46.29806475000001,46.301852666,46.585222625,46.788541957999996,right,20.0,1,1,0.4855384580000077,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
34,1,20.0,46.797488791000006,,46.788704791000015,46.797488791000006,47.28760650000001,47.28760650000001,47.28760650000001,,47.45499529100002,left,-20.0,0,0,0.16573708299998202,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
35,1,20.0,47.464799916000004,,47.455141333,47.464799916000004,47.95226541600002,47.95226541600002,47.95226541600002,,47.96685120800001,right,20.0,0,0,0.006237166000005345,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
36,1,20.0,47.97315175,,47.9669935,47.97315175,48.46469191600002,48.46469191600002,48.46806266600001,48.75129983300002,49.03747391600001,left,-20.0,1,1,0.568397540999996,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
37,1,20.0,49.047211833000006,,49.03764979100001,49.047211833000006,49.53144254100002,49.53144254100002,49.534874083000005,49.817937958000016,50.01835200000002,right,20.0,1,1,0.47979308399999354,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
38,1,20.0,50.027162290999996,,50.01856429100002,50.027162290999996,50.514772083,50.514772083,50.51804091600002,,50.670333333,left,-20.0,0,0,0.15157662500001834,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
39,1,20.0,50.681342375000014,,50.670436333,50.681342375000014,51.164813791,51.164813791,51.16834404100001,51.452218125,51.52016345800001,left,-20.0,1,1,0.35157275000000254,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
40,1,20.0,51.531422166,,51.52031383300002,51.531422166,52.01464675,52.01464675,52.018117625,52.301813541,52.65034600000001,left,-20.0,1,1,0.6218727920000049,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
41,1,20.0,52.65738737500001,,52.650552833000006,52.65738737500001,53.148104125,53.148104125,53.153068875,53.435048083,53.620443791000014,left,-20.0,1,1,0.4702251250000131,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
42,1,19.0,53.631365708000004,,53.620547500000015,53.631365708000004,54.119231833000015,54.119231833000015,54.119231833000015,,54.37163954100001,right,19.0,1,1,0.24713074999999662,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
43,1,19.0,54.38135687500002,,54.371755041,54.38135687500002,54.869780625000004,54.869780625000004,54.869780625000004,55.16485475000002,55.383650500000016,right,19.0,1,1,0.50742975,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
44,1,19.0,55.39240479100002,,55.383798833000014,55.39240479100002,55.88164154100002,55.88164154100002,55.88536483300001,56.16756720800001,56.38783454100002,left,-19.0,1,1,0.5037346669999749,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
45,1,18.0,56.397211833,,56.38802375,56.397211833,56.886383083,56.886383083,56.886383083,57.18149208300002,57.450480333,right,18.0,1,1,0.5548084169999754,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
46,1,18.0,57.459498166,,57.45068808300002,57.459498166,57.948246916000016,57.948246916000016,57.95202254100002,58.234848,59.084212750000006,left,-18.0,1,1,1.1308642090000092,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
47,0.5,18.0,59.09334420800002,,59.084433665999995,59.09334420800002,59.581508125,59.581508125,59.58487100000002,59.86749279100002,60.283687708,left,-18.0,0,0,0.6955058750000092,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
48,0.5,18.5,60.29276337500002,,60.283878250000015,60.29276337500002,60.78160062500001,60.78160062500001,60.785734915999996,61.06872545800002,62.81759816600001,left,-18.5,0,0,2.027184833000007,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
49,0.5,19.0,62.827034999999995,,62.81781183300001,62.827034999999995,63.31474287500001,63.31474287500001,63.31805641600002,63.6014055,63.93400975,right,19.0,0,0,0.6092577500000118,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
50,0.5,19.5,63.942896958000006,,63.934222500000004,63.942896958000006,64.431393125,64.431393125,64.43460704100002,64.718077666,65.55051675000001,left,-19.5,0,0,1.1079128330000003,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
51,0.5,20.0,65.55964295800001,,65.550680166,65.55964295800001,66.04815870800002,66.04815870800002,66.05195629100001,66.33444145800001,66.38703025000001,right,20.0,0,0,0.33695758300001444,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
52,0.5,20.0,66.398033,,66.38716637500002,66.398033,66.88625870800001,66.88625870800001,66.88625870800001,67.181574041,67.383819375,right,20.0,0,0,0.49342895899999917,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
53,0.5,20.0,67.392772041,,67.384013041,67.392772041,67.881525041,67.881525041,67.88660433300001,,68.004202625,left,-20.0,0,0,0.1185542919999989,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
54,0.5,20.0,68.01469995800002,,68.004347333,68.01469995800002,68.50303975,68.50303975,68.50303975,,68.78291704100002,left,-20.0,0,0,0.2674847910000153,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
55,0.5,20.0,68.78899479100002,,68.783042583,68.78899479100002,69.28165795800001,69.28165795800001,69.285665833,,69.42190691600001,left,-20.0,0,0,0.13855729100001213,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
56,0.5,20.0,69.431367333,,69.42204800000002,69.431367333,69.919194541,69.919194541,69.919194541,,70.050141333,right,20.0,1,1,0.12019687500000487,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
57,0.5,20.0,70.057157166,,70.05027370800002,70.057157166,70.54801941600002,70.54801941600002,70.55197475,,70.68727958300002,left,-20.0,0,0,0.1353258750000066,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
58,0.5,20.0,70.69802283300001,,70.68740350000002,70.69802283300001,71.185062458,71.185062458,71.185062458,,71.33720791600001,right,20.0,1,1,0.14874191600000586,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
59,0.5,20.0,71.34812458300001,,71.33730837500002,71.34812458300001,71.83144416600001,71.83144416600001,71.83580016600001,,71.916433958,left,-20.0,0,0,0.07353045799999336,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
60,0.5,20.0,71.92265479100001,,71.91657500000002,71.92265479100001,72.41473670800002,72.41473670800002,72.41933454100001,,72.43696137500001,left,-20.0,0,0,0.02069358299999635,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
61,0.5,20.0,72.44795645800002,,72.43706187500001,72.44795645800002,72.93528345800001,72.93528345800001,72.93528345800001,,73.08207333300001,right,20.0,1,1,0.133596582999985,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
62,0.5,20.0,73.086367416,,73.08218766600001,73.086367416,73.57049145800002,73.57049145800002,73.581412916,73.86493900000002,74.00021395800002,left,-20.0,1,1,0.4184270419999905,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
63,0.5,20.0,74.008911625,,74.000372833,74.008911625,74.49839550000002,74.49839550000002,74.503481916,,74.553799,right,20.0,0,0,0.05136999999999148,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
64,0.5,20.0,74.56482633300001,,74.55390170800001,74.56482633300001,75.048008041,75.048008041,75.05199754100002,75.33457662500001,75.57245162500001,right,20.0,0,0,0.5188875000000053,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
65,0.5,20.0,75.58115695800001,,75.57262816600002,75.58115695800001,76.068753791,76.068753791,76.068753791,,76.26546612500002,right,20.0,0,0,0.18428141700002243,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
66,0.5,20.0,76.26982008300001,,76.26556587500002,76.26982008300001,76.75443225000001,76.75443225000001,76.764897166,,76.78552350000001,left,-20.0,1,1,0.028492374999984804,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
67,0.5,20.0,76.79812929100001,,76.785611875,76.79812929100001,77.28141741600001,77.28141741600001,77.285544875,,77.48331679100002,right,20.0,1,1,0.19320129100000827,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
68,0.5,20.0,77.48961541600002,,77.48343816600001,77.48961541600002,77.98144033300002,77.98144033300002,77.986575125,78.26806491600001,78.655096291,left,-20.0,1,1,0.6690339169999788,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
69,0.5,19.5,78.66416270800002,,78.655282,78.66416270800002,79.153838458,79.153838458,79.153838458,,79.38314762500002,left,-19.5,0,0,0.2216806669999869,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
70,0.5,20.0,79.389875208,,79.383299583,79.389875208,79.881657166,79.881657166,79.885607333,80.16885937500001,80.582581291,left,-20.0,0,0,0.6876678750000167,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
71,0.5,20.0,80.58822512500001,,80.58272737500002,80.58822512500001,81.071824166,81.071824166,81.081391833,,81.237272625,left,-20.0,0,0,0.16146562500000528,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
72,0.5,20.0,81.247977958,,81.23737700000001,81.247977958,81.73568558300002,81.73568558300002,81.73568558300002,,81.850094125,left,-20.0,0,0,0.10037595800000076,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
73,0.5,20.0,81.85661425,,81.850233041,81.85661425,82.34824212500001,82.34824212500001,82.35232183300002,,82.51642108300001,right,20.0,1,1,0.15672608399998467,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
74,0.5,20.0,82.522480666,,82.516562416,82.522480666,83.01478045800002,83.01478045800002,83.018902583,,83.183137125,right,20.0,1,1,0.16346525000000156,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
75,0.5,20.0,83.18926462500002,,83.18326004100001,83.18926462500002,83.68143166600001,83.68143166600001,83.68507637500002,,83.837174541,left,-20.0,0,0,0.15135283399999366,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
76,0.5,20.0,83.847993083,,83.83728020800001,83.847993083,84.33687558300002,84.33687558300002,84.33687558300002,,84.50027187500001,right,20.0,0,0,0.15333662500000855,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
77,0.5,20.0,84.50737504100002,,84.500431666,84.50737504100002,84.998058458,84.998058458,85.00357937500002,,85.16669804100002,right,20.0,0,0,0.15916137500002492,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
78,0.5,20.0,85.17346729100001,,85.16684570800001,85.17346729100001,85.66480275,85.66480275,85.66892825000002,,85.83325366600002,right,20.0,0,0,0.16362308399999392,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
79,0.5,20.0,85.84043075,,85.83339620800001,85.84043075,86.330831875,86.330831875,86.33484775000002,86.618257166,86.70346254100002,right,20.0,0,0,0.3686367079999968,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
80,0.5,20.0,86.714753583,,86.70360612500002,86.714753583,87.19805258300002,87.19805258300002,87.201636041,,87.4035125,left,-20.0,1,1,0.20398545800000534,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
81,0.5,20.0,87.41470258300001,,87.40360804100001,87.41470258300001,87.89809425000001,87.89809425000001,87.90145941600002,,87.902459416,left,-20.0,1,1,0.0018548339999995278,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
82,0.5,20.0,87.914688375,,87.90255412500002,87.914688375,88.398171958,88.398171958,88.40153829100001,,88.486882958,left,-20.0,0,0,0.08512562499998921,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
83,0.5,20.0,88.49797958300002,,88.48697820800001,88.49797958300002,88.981439583,88.981439583,88.984980791,,89.14984091600002,left,-20.0,1,1,0.1561843329999988,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
84,0.5,20.0,89.155972666,,89.149964541,89.155972666,89.64818937500002,89.64818937500002,89.65212666600002,,89.65326366600002,right,20.0,0,0,0.0011617909999870335,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
85,0.5,20.0,89.664732625,,89.65336154100001,89.664732625,90.15145275,90.15145275,90.15145275,,90.337129541,right,20.0,0,0,0.1843392920000042,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
86,0.5,20.0,90.348125458,,90.33723629100001,90.348125458,90.83592150000001,90.83592150000001,90.83592150000001,,90.967066875,right,20.0,0,0,0.12279024999998,160213,001,2024-09-12_18h28.44.262,adaptive staircase 1,2024.1.5,None,2024-09-12 18h28.47.416558 +0530,
