staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,titl,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.008687958999871626,,0.004157584000040515,0.008687958999871626,0.497283416999835,0.497283416999835,0.5004593749999913,0.788145084000007,2.3839274169999953,right,10.0,0,0,1.8568935830003284,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
1,2,12.0,2.389075999999932,,2.3840891249997185,2.389075999999932,2.8737126249998255,2.8737126249998255,2.8848124589999316,3.168324875000053,3.7374862500000745,right,12.0,0,0,0.8505072090001704,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
2,1.5,14.0,3.7605293339997843,,3.7377037920000475,3.7605293339997843,4.234825250000085,4.234825250000085,4.255073291999906,4.520637291999719,6.220909958999982,right,14.0,1,1,1.9756662919999144,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
3,1,12.5,6.231096958999842,,6.221113958999922,6.231096958999842,6.718159458999708,6.718159458999708,6.722556624999925,7.005133083999681,8.190693209000074,left,-12.5,0,0,1.4681655829999727,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
4,1,13.5,8.200899916999788,,8.190898500000003,8.200899916999788,8.689444416999777,8.689444416999777,8.689444416999777,8.984818375000032,10.557329458999902,left,-13.5,1,1,1.863645416000054,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
5,1,13.5,10.568097667000075,,10.557489999999689,10.568097667000075,11.051442833999772,11.051442833999772,11.054613709000023,11.3376740839999,12.108996083999955,left,-13.5,0,0,1.0523377909998999,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
6,1,14.5,12.12139708399991,,12.109262041999955,12.12139708399991,12.607142500000009,12.607142500000009,12.618181999999706,12.90152124999986,13.770426499999758,right,14.5,1,1,1.1531337080000412,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
7,1,14.5,13.779567333999694,,13.770575833999828,13.779567333999694,14.268213584000023,14.268213584000023,14.273516208999808,14.55499491699993,15.642488999999841,left,-14.5,0,0,1.3690516249998836,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
8,1,15.5,15.668493583999862,,15.642668209000021,15.668493583999862,16.14016245899984,16.14016245899984,16.15504304199976,16.43477237499974,17.588104916999782,left,-15.5,1,1,1.4349057919998813,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
9,1,15.5,17.599694958999862,,17.588501083999745,17.599694958999862,18.08475154200005,18.08475154200005,18.088510583999778,18.370814833999702,20.074894374999985,right,15.5,1,1,1.9850234999998975,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
10,1,15.5,20.084520208999947,,20.075056333999783,20.084520208999947,20.57213641699991,20.57213641699991,20.57213641699991,20.868173999999726,21.97028191699974,left,-15.5,0,0,1.3925384580002174,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
11,1,16.5,21.980007208999723,,21.970434999999725,21.980007208999723,22.468558958999893,22.468558958999893,22.472613292000005,22.754675916999986,24.0037243339998,left,-16.5,0,0,1.5231110409999928,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
12,1,17.5,24.013299749999987,,24.00388350000003,24.013299749999987,24.50142512499997,24.50142512499997,24.505522541999653,24.788350834000084,25.970408874999976,left,-17.5,1,1,1.464490792000106,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
13,1,17.5,25.98023662500009,,25.97059920899983,25.98023662500009,26.468151084000056,26.468151084000056,26.471742041999732,26.754780959000072,28.557335041999977,left,-17.5,0,0,2.084746915999858,044767,001,2024-09-12_21h57.29.721,adaptive staircase 1,2024.1.5,None,2024-09-12 21h57.33.049701 +0530,
