trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04644662500004415,,0.01968116700027167,10,0.04644662500004415,0.04644662500004415,0.03553208399989671,3.5910380420000365,[-0.35],[-0.35833333333333334],[1],[0],[0],[3.555142457999864],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
1,0,1,0,3.6154869169999984,,3.5938455420000537,10,3.6154869169999984,3.6154869169999984,0.014898165999966295,6.772745042000224,[-0.31],[0.195],[1],[0],[0],[3.164312417000019],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
2,0,2,0,6.787532000000283,,6.77491316700025,5,6.787532000000283,6.787532000000283,0.007872541000324418,8.698605834000318,[-0.025],[-0.17166666666666666],[1],[0],[0],[1.9161168330001601],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
3,0,3,0,8.713860458999989,,8.700893833999999,5,8.713860458999989,8.713860458999989,0.008112458000141487,10.76528295900016,[-0.11666666666666667],[-0.285],[1],[0],[0],[2.0566305829997873],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
4,0,4,0,10.789880875000108,,10.76767450000034,10,10.789880875000108,10.789880875000108,0.015258041999913985,12.572603084000093,[0.11666666666666667],[0.23666666666666666],[1],[0],[0],[1.7900612920002459],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
5,0,5,0,12.58749329200009,,12.57480650000025,5,12.58749329200009,12.58749329200009,0.007791208000071492,14.071656375000202,[0.31166666666666665],[0.4266666666666667],[1],[0],[0],[1.4893834580002476],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
6,0,6,0,14.096066375000191,,14.074032542000168,10,14.096066375000191,14.096066375000191,0.015181916999608802,17.20660941699998,[-0.29833333333333334],[-0.4816666666666667],[1],[0],[0],[3.1177288339999905],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
7,0,7,0,17.230437791999975,,17.20883895900033,10,17.230437791999975,17.230437791999975,0.014708917000007204,19.48969704199999,[0.44],[0.405],[1],[0],[0],[2.2664538329995594],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
8,0,8,0,19.50471545900018,,19.491866458999993,5,19.50471545900018,19.50471545900018,0.007822292000128073,21.138457584000207,[0.09833333333333333],[-0.26166666666666666],[1],[0],[0],[1.63902462499982],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
9,0,9,0,21.153810458999942,,21.140783917000135,5,21.153810458999942,21.153810458999942,0.008155583000188926,23.465982000000167,[-0.05333333333333334],[-0.49166666666666664],[1],[0],[0],[2.3174171249997926],['target'],330532,001,2024-10-10_22h10.13.287,visual search task ,2024.1.5,None,2024-10-10 22h10.18.473051 +0530,
