trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,16.238433290999637,,16.216555374999643,10,16.238433290999637,16.238433290999637,0.014842625000255794,17.61413329099969,[0.10666666666666667],[-0.14833333333333334],[1],[0],[0],[1.383107082999686],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
11,0,11,0,17.628966124999806,,17.616390249999768,5,17.628966124999806,17.628966124999806,0.00784783300014169,18.913448707999578,[0.43166666666666664],[-0.205],[1],[0],[0],[1.2895514169999842],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
12,0,12,0,18.928694040999744,,18.91572633299984,5,18.928694040999744,18.928694040999744,0.008086709000053816,20.363298499999928,[-0.008333333333333333],[-0.13666666666666666],[1],[0],[0],[1.439849583999603],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
13,0,13,0,20.378957457999604,,20.365608082999643,5,20.378957457999604,20.378957457999604,0.008242875000178174,21.59036308299983,[0.43833333333333335],[-0.0033333333333333335],[1],[0],[0],[1.2168437919999633],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
14,0,14,0,21.605809332999797,,21.59270833299979,5,21.605809332999797,21.605809332999797,0.008104583000204002,22.96363358299959,[0.3283333333333333],[0.18333333333333332],[1],[0],[0],[1.3631583750002392],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
15,0,15,0,22.97903983299966,,22.96600062499965,5,22.97903983299966,22.97903983299966,0.00817437500018059,24.790419665999707,[0.25333333333333335],[0.07],[1],[0],[0],[1.8166158330000144],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
16,0,16,0,24.80566537499999,,24.792729832999612,5,24.80566537499999,24.80566537499999,0.008117708999634488,26.306611915999838,[-0.25666666666666665],[0.475],[1],[0],[0],[1.5060932080000384],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
17,0,17,0,26.322202457999992,,26.308993457999804,5,26.322202457999992,26.322202457999992,0.008303541999794106,27.74676187499972,[0.20333333333333334],[-0.008333333333333333],[1],[0],[0],[1.4298696659998313],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
18,0,18,0,27.770883457999844,,27.74904749999996,10,27.770883457999844,27.770883457999844,0.015102916000159894,29.17278424999995,[0.065],[0.21666666666666667],[1],[0],[0],[1.4090064580000217],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
19,0,19,0,29.18752287499956,,29.17499270799999,5,29.18752287499956,29.18752287499956,0.007751459000246541,30.4401372909997,[0.2633333333333333],[-0.15],[1],[0],[0],[1.2577342500003397],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
