9.3268 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
9.3269 	EXP 	window1: mouseVisible = False
9.3297 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0146 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
0.0149 	EXP 	New trial (rep=0, index=0): None
0.0184 	EXP 	grating: ori = -2.0
0.0184 	EXP 	fixation: autoDraw = True
0.9969 	INFO 	Keyboard events cleared
0.9966 	EXP 	grating: autoDraw = True
0.9966 	EXP 	grating: tex = 'sin'
1.0072 	EXP 	fixation: autoDraw = False
1.2914 	EXP 	grating: autoDraw = False
5.6470 	EXP 	New trial (rep=1, index=0): None
5.6630 	DATA 	Keypress: down
5.6653 	WARNING 	t of last frame was 44.69ms (=1/22)
5.6653 	EXP 	fixation: autoDraw = False
5.6653 	EXP 	grating: autoDraw = False
5.6653 	EXP 	grating: ori = 3.0
5.6653 	EXP 	fixation: autoDraw = True
6.6420 	INFO 	Keyboard events cleared
6.6418 	EXP 	grating: autoDraw = True
6.6578 	EXP 	fixation: autoDraw = False
6.9372 	EXP 	grating: autoDraw = False
7.8140 	EXP 	New trial (rep=2, index=0): None
7.8217 	DATA 	Keypress: down
7.8243 	EXP 	fixation: autoDraw = False
7.8243 	EXP 	grating: autoDraw = False
7.8243 	EXP 	grating: ori = 0.0
7.8243 	EXP 	fixation: autoDraw = True
8.8108 	INFO 	Keyboard events cleared
8.8106 	EXP 	grating: autoDraw = True
8.8206 	EXP 	fixation: autoDraw = False
9.1040 	EXP 	grating: autoDraw = False
9.2085 	EXP 	New trial (rep=3, index=0): None
9.2101 	DATA 	Keypress: up
9.2124 	EXP 	fixation: autoDraw = False
9.2124 	EXP 	grating: autoDraw = False
9.2124 	EXP 	grating: ori = 2.0
9.2124 	EXP 	fixation: autoDraw = True
10.2043 	INFO 	Keyboard events cleared
10.2041 	EXP 	grating: autoDraw = True
10.2100 	EXP 	fixation: autoDraw = False
10.4931 	EXP 	grating: autoDraw = False
10.8816 	EXP 	New trial (rep=4, index=0): None
10.8835 	DATA 	Keypress: up
10.8871 	EXP 	fixation: autoDraw = False
10.8871 	EXP 	grating: autoDraw = False
10.8871 	EXP 	grating: ori = -5.0
10.8871 	EXP 	fixation: autoDraw = True
11.8765 	INFO 	Keyboard events cleared
11.8763 	EXP 	fixation: autoDraw = False
11.8763 	EXP 	grating: autoDraw = True
12.1709 	EXP 	grating: autoDraw = False
12.3476 	EXP 	New trial (rep=5, index=0): None
12.3494 	DATA 	Keypress: down
12.3529 	EXP 	fixation: autoDraw = False
12.3529 	EXP 	grating: autoDraw = False
12.3529 	EXP 	grating: ori = 0.0
12.3529 	EXP 	fixation: autoDraw = True
13.3416 	INFO 	Keyboard events cleared
13.3414 	EXP 	fixation: autoDraw = False
13.3414 	EXP 	grating: autoDraw = True
13.6373 	EXP 	grating: autoDraw = False
13.8478 	EXP 	New trial (rep=6, index=0): None
13.8497 	DATA 	Keypress: up
13.8533 	EXP 	fixation: autoDraw = False
13.8533 	EXP 	grating: autoDraw = False
13.8533 	EXP 	grating: ori = 3.0
13.8533 	EXP 	fixation: autoDraw = True
14.8435 	INFO 	Keyboard events cleared
14.8433 	EXP 	fixation: autoDraw = False
14.8433 	EXP 	grating: autoDraw = True
15.1375 	EXP 	grating: autoDraw = False
15.6255 	EXP 	New trial (rep=7, index=0): None
15.6273 	DATA 	Keypress: down
15.6307 	EXP 	fixation: autoDraw = False
15.6307 	EXP 	grating: autoDraw = False
15.6307 	EXP 	grating: ori = 1.0
15.6307 	EXP 	fixation: autoDraw = True
16.6206 	INFO 	Keyboard events cleared
