trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
26,0,26,0,44.064605709000034,,44.059348709000005,44.064605709000034,45.05368141700001,45.05955520900011,45.49627562500018,down,1,0.4412574999998924,None,-5,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
27,0,27,0,45.502957124999966,,45.49797308400002,45.502957124999966,46.49186491700016,46.49186491700016,46.907094459000064,up,1,0.40818979200003014,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
28,0,28,0,46.91403550000018,,46.90884245899997,46.91403550000018,47.9039734590001,47.909834917000126,48.273634249999986,down,1,0.36797550000005685,None,-4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
29,0,29,0,48.28018058400016,,48.27530999999999,48.28018058400016,49.2708634170001,49.276778667000144,50.029354624999996,up,1,0.7521709170000577,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
30,0,30,0,50.03644491700015,,50.031067958999984,50.03644491700015,51.02645275000009,51.02645275000009,51.957100999999966,up,1,0.9219058749999931,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
31,0,31,0,51.96403695900017,,51.958820250000144,51.96403695900017,52.95391904200005,52.95977429200002,53.72955695900009,up,1,0.7706268750000618,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
32,0,32,0,53.73672966699996,,53.73133125000004,53.73672966699996,54.7267213340001,54.7267213340001,55.145799000000125,down,1,0.41663212499997826,None,1,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
33,0,33,0,55.153000709000025,,55.14733641700013,55.153000709000025,56.14307225000016,56.14307225000016,57.10725079200006,up,1,0.9593338749998566,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
34,0,34,0,57.113887500000146,,57.108921292000105,57.113887500000146,58.104152167000166,58.110045750000154,58.86269683399996,up,1,0.7572539580000921,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
35,0,35,0,58.869647917000066,,58.86421825000002,58.869647917000066,59.860378084000104,59.860378084000104,60.22416533399996,down,0,0.3625943750000715,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
36,0,36,0,60.230724667000004,,60.22577504200012,60.230724667000004,61.22054808400003,61.226471459000095,61.64113900000007,up,0,0.4192384590000984,None,-4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
37,0,37,0,61.64784691700015,,61.64266470899997,61.64784691700015,62.637296000000106,62.64323708400002,63.356999333999966,up,1,0.7135040829998616,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
38,0,38,0,63.36403420900001,,63.35874229199999,63.36403420900001,64.35400229200013,64.3598505,64.97386400000005,down,1,0.6143449589999364,None,3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
39,0,39,0,64.98085333400013,,64.97559575000014,64.98085333400013,65.97067195900013,65.97670670900015,66.65696204200003,up,0,0.6794281249999585,None,-4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
40,0,40,0,66.66317316699997,,66.65848433400015,66.66317316699997,67.65397695900015,67.66006383400008,68.25713362500005,down,0,0.5947944170000028,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
41,0,41,0,68.26395008400004,,68.25877954200018,68.26395008400004,69.25409166700001,69.2599976670001,69.85748108400003,down,1,0.6020619580001494,None,4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
42,0,42,0,69.8637866250001,,69.85900625,69.8637866250001,70.85401583400017,70.86017029200002,71.92377329200008,down,0,1.065274416999955,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
43,0,43,0,71.93011141700003,,71.92533904200013,71.93011141700003,72.92086483399999,72.92704041700017,73.89078175000009,up,1,0.9685725829999683,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
44,0,44,0,73.89724166700012,,73.89242754200018,73.89724166700012,74.8874659170001,74.89336350000008,75.74609416700014,up,1,0.856111583000029,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
45,0,45,0,75.75306599999999,,75.74766729199996,75.75306599999999,76.74316645900012,76.74316645900012,77.69028249999997,down,0,0.9461037080000096,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
46,0,46,0,77.69660325000018,,77.69200950000004,77.69660325000018,78.68730616700009,78.69318333399997,79.76269924999997,down,1,1.0717258750000838,None,1,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
47,0,47,0,79.76958424999998,,79.764406667,79.76958424999998,80.75973891700005,80.75973891700005,81.51295454199999,up,0,0.7476559169999746,None,-3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
48,0,48,0,81.51978095900017,,81.51457600000003,81.51978095900017,82.5099345000001,82.5099345000001,83.14082012500012,down,1,0.6295972499999607,None,3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
49,0,49,0,83.14774545900013,,83.14255458399998,83.14774545900013,84.13730079200013,84.14324662500007,84.71238012499998,down,1,0.569471958000122,None,4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
50,0,50,0,84.71966354200003,,84.71390491700004,84.71966354200003,85.70964295900012,85.70964295900012,86.37375458400015,up,1,0.6563579999999547,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
51,0,51,0,86.38060354200002,,86.37549308400003,86.38060354200002,87.37067075000004,87.37656312500008,88.11298733400008,down,1,0.738343291999854,None,4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
52,0,52,0,88.12028141700011,,88.11472879200005,88.12028141700011,89.11014083400005,89.11014083400005,89.96272545900001,down,1,0.8486232089999248,None,1,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
53,0,53,0,89.96978541700014,,89.96427533400015,89.96978541700014,90.95974041700015,90.95974041700015,91.76242150000007,up,1,0.7989095000000361,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
54,0,54,0,91.76970758400012,,91.76396950000003,91.76970758400012,92.759595709,92.759595709,93.67888508400006,up,1,0.9177681670000766,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
55,0,55,0,93.68631779200018,,93.68041937500016,93.68631779200018,94.67614133400002,94.67614133400002,95.87371466700006,down,0,1.1911093750002237,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
56,0,56,0,95.88001941700009,,95.87530216699997,95.88001941700009,96.87071950000018,96.876628042,97.87389420900013,down,1,0.9956664999999703,None,4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
57,0,57,0,97.88082912499999,,97.87563875000001,97.88082912499999,98.87071658400009,98.87682641700007,100.02348862500003,up,0,1.1451570829999582,None,-2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
58,0,58,0,100.0297270000001,,100.025171667,100.0297270000001,101.0205967920001,101.0267731670001,101.92943454200008,up,1,0.905293500000198,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
59,0,59,0,101.93643620900002,,101.93098683400012,101.93643620900002,102.92646370900002,102.92646370900002,103.6568138340001,down,1,0.7229711669999688,None,-5,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
60,0,60,0,103.6636060840001,,103.65852054200013,103.6636060840001,104.654015459,104.66000866700006,105.54040012500013,up,1,0.882768416999852,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
61,0,61,0,105.54634125000007,,105.54197029200009,105.54634125000007,106.53744883400009,106.54336091699997,107.30699358400011,down,1,0.7606556250000267,None,2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
62,0,62,0,107.3133418750001,,107.30852679200007,107.3133418750001,108.30382350000014,108.30947645900005,109.16347595900015,up,1,0.8527048329999616,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
63,0,63,0,109.17038095900011,,109.16511154199998,109.17038095900011,110.16016170900002,110.16016170900002,110.89028745900009,down,1,0.7287560409999969,None,-5,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
64,0,64,0,110.89720012500015,,110.89198233399998,110.89720012500015,111.88755437500004,111.89344995900001,112.70690012500017,up,1,0.8083493750000343,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
65,0,65,0,112.71358974999998,,112.70845695900016,112.71358974999998,113.7038862500001,113.7098450420001,114.44603883400009,down,0,0.7393741670000509,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
66,0,66,0,114.45296579199999,,114.44766316699997,114.45296579199999,115.44303558399997,115.44303558399997,116.39029466700003,down,0,0.9401731250000012,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
67,0,67,0,116.39719062500012,,116.39197466700011,116.39719062500012,117.38736000000017,117.39349112500008,118.34077858399996,up,0,0.942950208999946,None,-2,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
68,0,68,0,118.34786225000016,,118.34249900000009,118.34786225000016,119.3375537500001,119.34336504199996,120.27361400000018,down,0,0.9297992080000768,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
69,0,69,0,120.280494417,,120.27525975000003,120.280494417,121.27063762500006,121.276694959,122.25717254200003,down,1,0.9789553330001581,None,1,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
70,0,70,0,122.26429687500013,,122.2589028750001,122.26429687500013,123.25399812500018,123.25984483399998,124.04105337500005,up,1,0.7856813750001947,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
71,0,71,0,124.04790270900003,,124.04276449999998,124.04790270900003,125.0370351250001,125.042751125,126.34050837500013,down,0,1.2937020420001772,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
72,0,72,0,126.34620874999996,,126.34224462500015,126.34620874999996,127.33748441700004,127.34336550000012,128.35711195900012,down,1,1.0128453750000972,None,1,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
73,0,73,0,128.36392854200017,,128.35871658400015,128.36392854200017,129.35397879200013,129.359908334,130.15706524999996,up,1,0.796068749999904,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
74,0,74,0,130.164140417,,130.158782084,130.164140417,131.15396629200018,131.16005900000005,132.07374225000012,up,1,0.9121627080000962,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
75,0,75,0,132.07984262500008,,132.07545604200004,132.07984262500008,133.07065820900016,133.07663366700012,134.04030679200014,up,1,0.9609296669998457,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
76,0,76,0,134.04694058400014,,134.04202212500013,134.04694058400014,135.03698554200014,135.04276675000006,135.92871120900008,up,1,0.8901216670001304,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
77,0,77,0,135.93619962499997,,135.930233542,135.93619962499997,136.92647829200018,136.92647829200018,138.02417108400005,down,0,1.0963232500000686,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
78,0,78,0,138.03112633399996,,138.02587533400015,138.03112633399996,139.020318417,139.02596737500016,139.9738500840001,up,1,0.9465228750000279,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
79,0,79,0,139.98073625000006,,139.97555395900008,139.98073625000006,140.97034395900005,140.97628175,141.673905375,down,1,0.7022285410000677,None,1,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
80,0,80,0,141.68035529200006,,141.67557695900018,141.68035529200006,142.67057212500004,142.67659820900008,143.85691858400014,up,0,1.1748450420000154,None,-3,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
81,0,81,0,143.86365724999996,,143.85864400000014,143.86365724999996,144.8539495,144.85991879200014,145.80717683400007,down,0,0.9519017919999442,None,0,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
82,0,82,0,145.81367212500004,,145.80891354200003,145.81367212500004,146.80390450000004,146.81005004200006,147.66314354200017,down,1,0.8555351669999709,None,4,939684,001,2024-09-19_11h40.40.957,Orientation discrimination task,2024.1.5,None,2024-09-19 11h40.46.875993 +0530,
